c	Вес	подграфа	=	37313022,	число	ребер	=	23318,
p	edge	2048	23318
e	512	1467
e	160	1002
e	1439	1706
e	1106	1204
e	281	1659
e	140	483
e	692	952
e	1018	1927
e	824	1259
e	470	740
e	553	894
e	718	1911
e	642	1750
e	1379	1456
e	553	1643
e	65	733
e	388	984
e	1359	1443
e	674	1527
e	1703	2028
e	268	2033
e	553	1890
e	303	627
e	666	1079
e	598	1080
e	1160	1767
e	459	1700
e	1133	1311
e	116	341
e	363	879
e	241	1241
e	561	1832
e	781	1511
e	534	1809
e	900	1163
e	658	1658
e	388	527
e	160	1947
e	832	1641
e	183	406
e	489	782
e	736	1602
e	844	1230
e	610	1314
e	42	81
e	313	1659
e	1106	1834
e	1382	1619
e	277	291
e	774	1258
e	1541	1635
e	822	1364
e	354	1439
e	395	1321
e	152	1817
e	524	894
e	1475	1842
e	657	1251
e	472	658
e	868	1924
e	1429	1883
e	687	1924
e	666	1962
e	265	1853
e	346	820
e	463	573
e	98	616
e	374	1963
e	406	594
e	1372	1977
e	375	1455
e	230	563
e	42	505
e	84	807
e	3	1277
e	481	1903
e	274	505
e	711	1988
e	330	2042
e	91	1740
e	147	1815
e	903	1746
e	1167	1455
e	77	2005
e	413	1958
e	309	1769
e	108	1757
e	620	1647
e	1399	1483
e	1004	1244
e	1063	1713
e	1081	2015
e	699	1165
e	515	1925
e	515	1835
e	297	647
e	43	1673
e	1455	1927
e	684	1710
e	451	983
e	55	229
e	1439	1538
e	1686	1914
e	381	1048
e	774	1898
e	1533	1962
e	723	1367
e	1003	1395
e	460	1544
e	1098	1815
e	56	971
e	998	1322
e	465	669
e	346	706
e	47	1856
e	618	1702
e	639	1652
e	986	1224
e	1336	1550
e	444	810
e	996	1537
e	1808	1859
e	209	1262
e	508	932
e	687	1125
e	726	1317
e	328	1421
e	1384	1820
e	903	1027
e	269	1312
e	1707	1958
e	1341	1541
e	639	1097
e	1221	1677
e	330	1050
e	342	410
e	1811	2018
e	997	1469
e	100	881
e	220	1867
e	346	1886
e	586	1441
e	36	655
e	531	1365
e	685	1882
e	185	810
e	494	1639
e	131	1746
e	307	393
e	1046	1458
e	1376	1601
e	934	1928
e	1827	1832
e	894	1185
e	779	1189
e	683	1831
e	326	941
e	157	1595
e	981	1507
e	1616	1888
e	104	648
e	590	1776
e	542	1499
e	566	1542
e	17	382
e	33	1951
e	239	1862
e	350	1608
e	1159	1299
e	1021	1859
e	434	1611
e	298	447
e	784	1630
e	1358	1862
e	810	1442
e	967	1618
e	466	985
e	515	817
e	471	777
e	693	1610
e	957	1069
e	617	1348
e	192	1076
e	251	819
e	233	600
e	1025	1736
e	155	1898
e	348	1173
e	1320	1628
e	238	1897
e	912	1313
e	272	2042
e	114	875
e	494	1110
e	205	1328
e	64	656
e	1615	1948
e	471	1566
e	152	1217
e	988	1240
e	361	1386
e	649	868
e	1287	1923
e	394	1533
e	445	882
e	309	1378
e	74	243
e	59	332
e	1583	1716
e	791	1361
e	290	1984
e	209	1672
e	436	1188
e	1200	1267
e	513	1189
e	1258	1734
e	1218	1810
e	136	645
e	443	737
e	357	746
e	1049	1914
e	301	1989
e	324	1812
e	654	1895
e	885	1657
e	351	951
e	865	1325
e	295	1587
e	687	1506
e	648	1079
e	91	489
e	930	1206
e	818	1578
e	183	1386
e	181	294
e	1384	1811
e	1280	1829
e	584	1630
e	1179	1957
e	503	1243
e	912	1812
e	355	741
e	147	560
e	760	1387
e	9	1945
e	954	1693
e	121	579
e	214	232
e	781	1230
e	398	847
e	1522	1775
e	1103	1474
e	945	1476
e	357	1249
e	415	1815
e	1707	1918
e	1524	1901
e	1390	1510
e	741	1482
e	636	1053
e	367	1027
e	257	571
e	262	1239
e	1732	2028
e	770	1444
e	1240	1284
e	1155	1656
e	118	770
e	951	1403
e	558	1020
e	574	818
e	906	1540
e	1414	1635
e	156	1752
e	24	1063
e	1244	1861
e	1252	1899
e	280	337
e	1823	2020
e	396	1589
e	1304	1815
e	281	708
e	101	668
e	1402	1449
e	245	1186
e	504	518
e	982	1717
e	1211	1217
e	342	1679
e	146	928
e	783	845
e	1451	1641
e	405	2015
e	124	646
e	588	1263
e	772	1096
e	76	1840
e	192	1706
e	512	583
e	1086	1169
e	69	729
e	1661	1893
e	853	2033
e	382	954
e	485	904
e	725	1470
e	1270	1380
e	593	1523
e	123	1635
e	685	1082
e	1298	1946
e	479	1503
e	1045	1927
e	452	729
e	782	1940
e	212	1554
e	343	436
e	459	1011
e	1044	1679
e	685	1847
e	861	1891
e	736	922
e	381	1592
e	1065	1361
e	461	1408
e	750	1842
e	977	1162
e	1481	1894
e	1004	1966
e	656	1872
e	623	1868
e	1278	1470
e	835	885
e	613	1914
e	148	306
e	1107	1480
e	92	755
e	198	1566
e	5	163
e	1480	1728
e	1358	1987
e	55	1706
e	1320	1707
e	711	2032
e	989	1402
e	311	1491
e	178	1592
e	558	1804
e	435	1694
e	1271	1304
e	234	1864
e	1237	1828
e	540	1127
e	387	1250
e	1602	1864
e	1710	2036
e	625	1181
e	242	1063
e	165	401
e	818	1111
e	3	766
e	813	1962
e	562	638
e	584	1544
e	795	1141
e	678	839
e	601	1301
e	983	1113
e	79	1121
e	1166	1278
e	690	1238
e	230	1110
e	715	1075
e	68	1957
e	660	1729
e	167	368
e	1611	1933
e	146	692
e	116	331
e	283	1653
e	46	1669
e	879	1222
e	652	1271
e	707	1973
e	536	1492
e	68	1702
e	490	1594
e	431	1345
e	202	1560
e	580	720
e	1657	1802
e	1964	1976
e	1635	1848
e	995	1266
e	1522	1568
e	765	1910
e	464	1523
e	1200	1366
e	959	2029
e	711	1649
e	1070	1111
e	301	1182
e	478	1196
e	468	1733
e	165	174
e	1235	1491
e	143	1593
e	217	893
e	944	1197
e	666	1131
e	333	2021
e	1730	1975
e	324	1659
e	724	1385
e	1007	1914
e	524	536
e	13	1752
e	1653	2047
e	587	788
e	804	1249
e	382	485
e	19	1658
e	339	835
e	731	771
e	836	2026
e	795	1370
e	357	1568
e	1230	1612
e	857	1937
e	160	1571
e	1258	1286
e	112	1791
e	666	1761
e	1411	1714
e	81	1063
e	133	982
e	588	1293
e	380	762
e	304	1140
e	1359	1760
e	156	1402
e	1075	1786
e	1565	1737
e	503	2020
e	774	1564
e	1187	1453
e	709	1930
e	1144	1380
e	1764	1852
e	829	1093
e	410	1195
