c	Депо	=	375,	самый	длинный	цикл	=	1388,	суммарная	длина	=	12434
p	edge	512	520
e	375	395
e	395	496
e	496	293
e	293	321
e	321	292
e	292	35
e	35	3
e	3	300
e	300	279
e	279	128
e	128	124
e	124	27
e	27	18
e	18	317
e	317	467
e	467	297
e	297	449
e	449	423
e	423	182
e	182	258
e	258	166
e	166	232
e	232	45
e	45	415
e	415	384
e	384	356
e	356	33
e	33	252
e	252	363
e	363	408
e	408	43
e	43	406
e	406	479
e	479	48
e	48	130
e	130	229
e	229	253
e	253	69
e	69	47
e	47	149
e	149	133
e	133	211
e	211	198
e	198	383
e	383	41
e	41	337
e	337	102
e	102	226
e	226	307
e	307	245
e	245	180
e	180	9
e	9	320
e	320	450
e	450	57
e	57	167
e	167	504
e	504	310
e	310	203
e	203	6
e	6	261
e	261	466
e	466	367
e	367	437
e	437	385
e	385	428
e	428	333
e	333	471
e	471	118
e	118	170
e	170	127
e	127	165
e	165	375
e	375	115
e	115	206
e	206	355
e	355	231
e	231	370
e	370	397
e	397	457
e	457	442
e	442	343
e	343	94
e	94	312
e	312	474
e	474	505
e	505	281
e	281	5
e	5	28
e	28	2
e	2	268
e	268	509
e	509	215
e	215	197
e	197	289
e	289	17
e	17	309
e	309	286
e	286	72
e	72	151
e	151	295
e	295	79
e	79	489
e	489	120
e	120	353
e	353	502
e	502	92
e	92	473
e	473	136
e	136	447
e	447	73
e	73	98
e	98	235
e	235	104
e	104	214
e	214	458
e	458	262
e	262	375
e	375	240
e	240	86
e	86	61
e	61	71
e	71	192
e	192	480
e	480	361
e	361	392
e	392	175
e	175	30
e	30	431
e	431	66
e	66	453
e	453	44
e	44	55
e	55	129
e	129	87
e	87	249
e	249	304
e	304	173
e	173	296
e	296	222
e	222	371
e	371	427
e	427	318
e	318	216
e	216	381
e	381	424
e	424	26
e	26	177
e	177	313
e	313	78
e	78	224
e	224	438
e	438	171
e	171	54
e	54	157
e	157	62
e	62	201
e	201	12
e	12	454
e	454	196
e	196	439
e	439	172
e	172	83
e	83	77
e	77	148
e	148	434
e	434	56
e	56	288
e	288	111
e	111	67
e	67	334
e	334	398
e	398	247
e	247	75
e	75	169
e	169	191
e	191	322
e	322	174
e	174	22
e	22	336
e	336	255
e	255	375
e	375	142
e	142	95
e	95	499
e	499	451
e	451	181
e	181	1
e	1	344
e	344	76
e	76	389
e	389	351
e	351	63
e	63	477
e	477	510
e	510	59
e	59	287
e	287	283
e	283	285
e	285	372
e	372	377
e	377	422
e	422	147
e	147	15
e	15	243
e	243	414
e	414	242
e	242	60
e	60	234
e	234	460
e	460	88
e	88	421
e	421	89
e	89	495
e	495	152
e	152	154
e	154	241
e	241	199
e	199	302
e	302	298
e	298	248
e	248	498
e	498	405
e	405	205
e	205	230
e	230	217
e	217	121
e	121	375
e	375	264
e	264	413
e	413	99
e	99	301
e	301	452
e	452	497
e	497	493
e	493	134
e	134	237
e	237	485
e	485	132
e	132	233
e	233	358
e	358	500
e	500	350
e	350	40
e	40	100
e	100	266
e	266	4
e	4	74
e	74	53
e	53	482
e	482	221
e	221	488
e	488	141
e	141	239
e	239	31
e	31	465
e	465	140
e	140	487
e	487	271
e	271	393
e	393	186
e	186	402
e	402	483
e	483	91
e	91	459
e	459	366
e	366	481
e	481	46
e	46	417
e	417	425
e	425	38
e	38	357
e	357	220
e	220	161
e	161	168
e	168	24
e	24	109
e	109	238
e	238	110
e	110	379
e	379	387
e	387	399
e	399	375
e	375	347
e	347	394
e	394	470
e	470	81
e	81	332
e	332	472
e	472	436
e	436	401
e	401	282
e	282	391
e	391	269
e	269	208
e	208	51
e	51	19
e	19	209
e	209	362
e	362	251
e	251	70
e	70	303
e	303	280
e	280	257
e	257	138
e	138	112
e	112	335
e	335	328
e	328	49
e	49	512
e	512	256
e	256	93
e	93	96
e	96	155
e	155	195
e	195	291
e	291	461
e	461	331
e	331	108
e	108	68
e	68	106
e	106	21
e	21	478
e	478	469
e	469	116
e	116	52
e	52	426
e	426	375
e	375	360
e	360	176
e	176	419
e	419	506
e	506	432
e	432	246
e	246	189
e	189	484
e	484	346
e	346	325
e	325	64
e	64	20
e	20	494
e	494	123
e	123	23
e	23	263
e	263	348
e	348	444
e	444	507
e	507	32
e	32	411
e	411	275
e	275	267
e	267	11
e	11	244
e	244	16
e	16	187
e	187	80
e	80	194
e	194	137
e	137	462
e	462	259
e	259	200
e	200	260
e	260	433
e	433	486
e	486	329
e	329	407
e	407	146
e	146	364
e	364	84
e	84	8
e	8	85
e	85	373
e	373	412
e	412	323
e	323	37
e	37	448
e	448	386
e	386	456
e	456	440
e	440	430
e	430	13
e	13	274
e	274	185
e	185	341
e	341	284
e	284	236
e	236	441
e	441	327
e	327	359
e	359	416
e	416	492
e	492	511
e	511	10
e	10	190
